All compounds together:
optimized t0: 0.46
optimized tD: 0.68
optimized time: [0.4, 1.1, 1.9, 5.5, 5.9, 8.1, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
average/RMS error of calibration compounds after optimization: -0.002/0.061
average/RMS error of all compounds after optimization: 0.021/0.106
Sulfate and none-sulfate compounds separately:
For compounds with sulfate: 
optimized t0: 0.46
optimized tD: 0.61
optimized time: [0.6, 1.1, 1.9, 5.6, 5.9, 8.0, 9.0, 17.1, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
For compounds without sulfate: 
optimized t0: 0.51
optimized tD: 0.52
optimized time: [0.6, 1.1, 1.9, 5.4, 6.0, 8.0, 9.0, 17.0, 17.9]
optimized perB: [0.03, 0.2, 0.25, 0.25, 0.3, 0.3, 0.35, 0.65, 0.98]
Combined compounds with or without sulfate: 
average/RMS error of calibration compounds after optimization: -0.002/0.016
average/RMS error of all compounds after optimization: 0.038/0.073
name	actual RT	predict RT1	error1	predict RT2	error2
alloLCA;BA	16.51	16.47	-0.04	16.54	0.03	
alloLCA;BA-3S	11.96	12.03	0.07	11.95	-0.01	
alloLCA;GBA	12.1	12.04	-0.06	12.06	-0.04	
alloLCA;GBA-3S	7.69	7.73	0.04	7.69	0	
alloLCA;TBA	12.14	12.11	-0.03	12.12	-0.02	
alloLCA;TBA-3S	7.49	7.59	0.1	7.55	0.06	
isoalloLCA;BA	15.04	15.09	0.05	15.16	0.12	
isoalloLCA;BA-3S	11.28	11.42	0.14	11.35	0.07	
isoalloLCA;GBA	10.32	10.34	0.02	10.37	0.05	
isoalloLCA;GBA-3S	6.53	6.8	0.27	6.78	0.25	
isoalloLCA;TBA	10.39	10.43	0.04	10.45	0.06	
isoalloLCA;TBA-3S	6.19	6.61	0.42	6.54	0.35	
isoLCA;BA	15.33	15.34	0.01	15.41	0.08	
isoLCA;BA-3S	11.33	11.47	0.14	11.39	0.06	
isoLCA;GBA	10.74	10.73	-0.01	10.75	0.01	
isoLCA;TBA	10.8	10.81	0.01	10.83	0.03	
isoLCA;TBA-3S	6.57	6.89	0.32	6.87	0.3	
LCA;BA	16.4	16.35	-0.05	16.42	0.02	
LCA;BA-3S	12.19	12.26	0.07	12.19	0	
LCA;GBA	12.2	12.17	-0.03	12.19	-0.01	
LCA;GBA-3S	8.18	8.23	0.05	8.19	0.01	
LCA;TBA	12.28	12.24	-0.04	12.25	-0.03	
LCA;TBA-3S	7.96	8.06	0.1	8.02	0.06	
3o-alloLCA;BA	16.41	16.43	0.02	16.51	0.1	
3o-alloLCA;GBA	11.69	11.71	0.02	11.74	0.05	
3o-alloLCA;TBA	11.73	11.78	0.05	11.8	0.07	
3o-LCA;BA	16.71	16.73	0.02	16.8	0.09	
3o-LCA;GBA	12.24	12.23	-0.01	12.25	0.01	
3o-LCA;TBA	12.3	12.3	0	12.33	0.03	
iso-d5-LCA;BA	14.46	14.55	0.09	14.61	0.15	
iso-d5-LCA;BA-3S	10.95	11.14	0.19	11.06	0.11	
iso-d5-LCA;GBA	9.78	9.82	0.04	9.87	0.09	
iso-d5-LCA;GBA-3S	5.55	5.8	0.25	5.74	0.19	
iso-d5-LCA;TBA	9.89	9.97	0.08	10	0.11	
iso-d5-LCA;TBA-3S	5.27	5.62	0.35	5.55	0.28	
3o-d4-LCA;BA	14.99	15.06	0.07	15.13	0.14	
3o-d4-LCA;GBA	10.61	10.64	0.03	10.67	0.06	
3o-d4-LCA;TBA	10.71	10.77	0.06	10.79	0.08	
12-epiDCA;BA	12.01	11.94	-0.07	12	-0.01	
12-epiDCA;BA-12S	8.22	8.26	0.04	8.22	0	
12-epiDCA;BA-3S	9.55	9.6	0.05	9.52	-0.03	
12-epiDCA;GBA	7.65	7.54	-0.11	7.64	-0.01	
12-epiDCA;GBA-12S	3.37	3.47	0.1	3.41	0.04	
12-epiDCA;GBA-3S	4.27	4.28	0.01	4.22	-0.05	
12-epiDCA;TBA	7.91	7.8	-0.11	7.93	0.02	
12-epiDCA;TBA-12S	3.38	3.5	0.12	3.44	0.06	
12-epiDCA;TBA-3S	4	4.06	0.06	4	0	
3b-DCA;BA	11.99	11.93	-0.06	11.99	0	
3b-DCA;BA-12S	8.75	8.62	-0.13	8.58	-0.17	
3b-DCA;BA-3S	9.32	9.4	0.08	9.33	0.01	
3b-DCA;GBA	7.47	7.39	-0.08	7.47	0	
3b-DCA;GBA-12S	3.85	3.85	0	3.79	-0.06	
3b-DCA;GBA-3S	4.01	4.12	0.11	4.05	0.04	
3b-DCA;TBA	7.66	7.57	-0.09	7.67	0.01	
3b-DCA;TBA-12S	3.65	3.71	0.06	3.64	-0.01	
3b-DCA;TBA-3S	3.95	4.09	0.14	4.02	0.07	
alloCDCA;BA	13.36	13.3	-0.06	13.35	-0.01	
alloCDCA;BA-3S	10.39	10.49	0.1	10.41	0.02	
alloCDCA;BA-7S	10.93	10.98	0.05	10.9	-0.03	
alloCDCA;GBA	9.86	9.85	-0.01	9.89	0.03	
alloCDCA;GBA-3S	5.47	5.53	0.06	5.46	-0.01	
alloCDCA;GBA-7S	6.83	6.95	0.12	6.92	0.09	
alloCDCA;TBA	9.99	10.02	0.03	10.04	0.05	
alloCDCA;TBA-3S	5.3	5.42	0.12	5.36	0.06	
alloCDCA;TBA-7S	6.68	6.81	0.13	6.78	0.1	
alloUDCA;BA	11.53	11.49	-0.04	11.55	0.02	
alloUDCA;BA-3S	7.47	7.54	0.07	7.5	0.03	
alloUDCA;BA-7S	9.46	9.52	0.06	9.44	-0.02	
alloUDCA;GBA	6.89	6.86	-0.03	6.92	0.03	
alloUDCA;GBA-3S	3.06	3.18	0.12	3.12	0.06	
alloUDCA;GBA-7S	4.19	4.2	0.01	4.14	-0.05	
alloUDCA;TBA	7.06	7.06	0	7.11	0.05	
alloUDCA;TBA-3S	3.04	3.17	0.13	3.11	0.07	
alloUDCA;TBA-7S	4.07	4.14	0.07	4.08	0.01	
CDCA;BA	13.44	13.41	-0.03	13.46	0.02	
CDCA;BA-3S	10.48	10.59	0.11	10.5	0.02	
CDCA;BA-7S	10.64	10.69	0.05	10.61	-0.03	
CDCA;GBA	10	10	0	10.03	0.03	
CDCA;GBA-3S	5.66	5.75	0.09	5.68	0.02	
CDCA;GBA-7S	6.49	6.42	-0.07	6.36	-0.13	
CDCA;TBA	10.14	10.16	0.02	10.18	0.04	
CDCA;TBA-3S	5.49	5.63	0.14	5.57	0.08	
CDCA;TBA-7S	6.19	6.2	0.01	6.13	-0.06	
DCA;BA	13.69	13.59	-0.1	13.66	-0.03	
DCA;BA-3S	10.62	10.71	0.09	10.62	0	
DCA;BA-12S	10.89	10.91	0.02	10.83	-0.06	
